,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Garanti Süresi,Garanti Tipi,Kullanım Amacı,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,SSD Kapasitesi,Star,Çözünürlük,Çözünürlük Standartı,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi
10,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,17999.0,8,4,512.0,4.63,1.0,2.0,4.0,AMD Ryzen 5,6.0,Free Dos
11,ACER,2.0,0,17.3,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,20089.02,16,4,512.0,3.6,1.0,2.0,5.0,AMD Ryzen 7,8.0,Free Dos
12,MSI,2.0,0,17.3,GDDR6,4.0,2.0,Marka Grantili,Oyun,26867.61,16,4,512.0,4.2,1.0,2.0,12.0,Intel Core i7,10.0,Free Dos
13,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,14499.0,8,4,512.0,5.0,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
14,ASUS,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,26263.02,16,8,512.0,4.77,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
15,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,21499.0,16,4,1024.0,4.78,1.0,2.0,4.0,AMD Ryzen 7,8.0,Free Dos
16,ASUS,2.0,0,15.6,GDDR5,2.0,2.0,Resmi Distribütör Garantili,Tasarım,11199.0,8,4,256.0,5.0,1.0,2.0,11.0,Intel Core i5,4.0,Free Dos
17,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,21399.0,16,3,512.0,5.0,1.0,2.0,11.0,Intel Core i7,8.0,Free Dos
18,ASUS,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,31999.0,16,8,512.0,5.0,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
19,HP,3.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,19010.03,8,4,512.0,4.9,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
20,LENOVO,2.0,0,15.6,DDR4,2.0,2.0,Resmi Distribütör Garantili,Ev - Okul,12569.0,8,4,256.0,4.5,1.0,2.0,11.0,Intel Core i5,6.0,Free Dos
21,ACER,3.0,0,14.0,DDR,0.0,2.0,Resmi Distribütör Garantili,Ev - Okul,15498.0,16,7,512.0,4.45,1.0,2.0,11.0,Intel Core i7,4.0,Windows
22,Dell,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,28282.0,16,8,512.0,0.0,1.0,2.0,12.0,Intel Core i7,6.0,Diğer
23,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,17479.0,8,4,512.0,4.11,1.0,2.0,10.0,Intel Core i5,4.0,Free Dos
24,HP,3.0,0,15.6,GDDR6,2.0,2.0,Marka Grantili,Ofis - İş,14999.0,8,4,512.0,4.4,1.0,2.0,12.0,Intel Core i5,10.0,Free Dos
25,LENOVO,2.0,0,15.6,DDR4,2.0,2.0,Resmi Distribütör Garantili,Ofis - İş,12860.0,8,4,512.0,5.0,1.0,2.0,11.0,Intel Core i5,4.0,Free Dos
26,LENOVO,3.0,0,15.6,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,7500.0,8,4,256.0,5.0,1.0,2.0,5.0,AMD Ryzen 3,4.0,Free Dos
27,Dell,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,24241.0,16,8,512.0,5.0,1.0,2.0,12.0,Intel Core i7,6.0,Diğer
28,ASUS,3.0,0,16.0,GDDR5,4.0,2.0,Marka Grantili,Oyun,25999.0,16,7,1024.0,5.0,3.0,4.0,11.0,Intel Core i7,4.0,Windows
29,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,24989.0,16,4,1024.0,4.75,1.0,2.0,4.0,AMD Ryzen 7,8.0,Free Dos
30,HP,3.0,0,15.6,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,12540.15,16,4,512.0,5.0,1.0,2.0,12.0,Intel Core i5,10.0,Free Dos
31,MSI,2.0,0,17.3,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,25999.0,16,4,1024.0,4.64,1.0,2.0,12.0,Intel Core i7,14.0,Free Dos
32,LENOVO,2.0,0,15.6,DDR4,0.0,2.0,Resmi Distribütör Garantili,Ev - Okul,10850.0,8,4,512.0,4.75,1.0,2.0,11.0,Intel Core i5,4.0,Free Dos
